iter	Passed	Remaining
0	324	647738
1	706	705473
2	1080	719072
3	1455	726126
4	1817	725319
5	2170	721425
6	2563	729782
7	2905	723519
8	3273	724133
9	3631	722613
10	3976	718994
11	4313	714656
12	4717	720992
13	5093	722536
14	5294	700702
15	5652	700876
16	6032	703697
17	6393	703988
18	6794	708371
19	7212	714041
20	7579	714322
21	7938	713704
22	8326	715750
23	8683	714925
24	9047	714751
25	9398	713548
26	9765	713570
27	10140	714165
28	10581	719210
29	10970	720424
30	11351	720978
31	11728	721297
32	12110	721862
33	12455	720192
34	12819	719695
35	13162	718062
36	13506	716596
37	13874	716336
38	14253	716689
39	14634	717110
40	15035	718380
41	15425	719112
42	15818	719905
43	16235	721721
44	16637	722815
45	17000	722132
46	17356	721205
47	17701	719854
48	18076	719752
49	18451	719623
50	18843	720127
51	19216	719876
52	19585	719501
53	19967	719579
54	20367	720255
55	20751	720389
56	21180	721984
57	21567	722135
58	21939	721768
59	22289	720689
60	22686	721139
61	23057	720740
62	23441	720723
63	23849	721458
64	24223	721121
65	24597	720772
66	24980	720693
67	25393	721466
68	25767	721114
69	26148	720948
70	26565	721760
71	26950	721676
72	27357	722172
73	27712	721286
74	28088	720931
75	28446	720134
76	28815	719649
77	29202	719584
78	29594	719634
79	29964	719138
80	30343	718885
81	30699	718074
82	31060	717395
83	31440	717148
84	31811	716688
85	32223	717159
86	32607	716998
87	33016	717349
88	33385	716854
89	33767	716617
90	34149	716388
91	34546	716473
92	34948	716638
93	35332	716416
94	35696	715816
95	36062	715240
96	36435	714812
97	36777	713783
98	37170	713741
99	37548	713429
100	37947	713497
101	38313	712928
102	38676	712327
103	39057	712054
104	39434	711704
105	39792	711008
106	40126	709894
107	40495	709414
108	40858	708841
109	41217	708190
110	41610	708134
111	41969	707488
112	42332	706920
113	42712	706623
114	43081	706168
115	43429	705362
116	43793	704812
117	44159	704311
118	44532	703904
119	44882	703160
120	45238	702497
121	45600	701941
122	45968	701483
123	46322	700820
124	46739	701097
125	47127	700933
126	47491	700405
127	47862	699993
128	48219	699370
129	48570	698668
130	48992	698978
131	49380	698815
132	49714	697869
133	50096	697606
134	50452	696985
135	50848	696919
136	51191	696128
137	51561	695706
138	51901	694886
139	52281	694599
140	52642	694060
141	53011	693625
142	53390	693328
143	53742	692679
144	54110	692240
145	54460	691567
146	54836	691236
147	55190	690632
148	55577	690432
149	55927	689775
150	56311	689539
151	56676	689068
152	57028	688438
153	57378	687797
154	57729	687167
155	58105	686839
156	58439	686015
157	58802	685527
158	59148	684860
159	59501	684269
160	59850	683635
161	60181	682803
162	60557	682483
163	60943	682265
164	61346	682248
165	61707	681753
166	62096	681570
167	62472	681247
168	62810	680503
169	63174	680057
170	63531	679531
171	63940	679550
172	64322	679292
173	64695	678929
174	65038	678262
175	65421	678003
176	65794	677643
177	66139	677003
178	66494	676457
179	66854	675971
180	67192	675268
181	67529	674553
182	67930	674479
183	68341	674497
184	68731	674307
185	69116	674071
186	69493	673750
187	69891	673630
188	70247	673115
189	70665	673182
190	71012	672577
191	71362	671997
192	71703	671336
193	72070	670925
194	72462	670742
195	72816	670206
196	73222	670155
197	73575	669613
198	73949	669265
199	74315	668843
200	74705	668630
201	75047	667995
202	75411	667562
203	75768	667063
204	76133	666636
