sentiment_category,rating_category,gmap_id,business_name,user_id,rating,text,user_name,time
positive,taste,,Haci'nin Yeri - Yigit Lokantasi,,5,We went to Marmaris with my wife for a holiday. We chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. When we first went there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,Gulsum Akar,
positive,menu,,Haci'nin Yeri - Yigit Lokantasi,,4,During my holiday in Marmaris we ate here to fit the food. It's really good that the food is cheap and nice. Eating as much bread as you want is a big plus for those who are not satisfied without bread. It is a place that I can recommend to those who will go to Marmaris. On July 1 there was a small increase but even the price hike is cheap. I leave the photo of the latest prices and breakfast below. there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,Oguzhan Cetin,
neutral,outdoor_atmosphere,,Haci'nin Yeri - Yigit Lokantasi,,3,Prices are very affordable. The menu in the photo cost 108 liras. You have to wait 10-15 minutes for food. Staff is annoying. Well it tastes good. Boiled meat was delicious.,Yasin Kuyu,
positive,indoor_atmosphere,,Haci'nin Yeri - Yigit Lokantasi,,5,Turkey's cheapest artisan restaurant and its food is delicious!,Orhan Kapu,
neutral,menu,,Haci'nin Yeri - Yigit Lokantasi,,3,I don't know what you will look for in terms of price performance point; taste; but yigit restaurant writes a big plus for those who come to work in this region.,Ozgur Sati,
positive,indoor_atmosphere,,Haci'nin Yeri - Yigit Lokantasi,,4,Generally good.,Arda Karaca,
positive,taste,,Haci'nin Yeri - Yigit Lokantasi,,5,What you see is 125 TL in total. It's a pretty convenient place. We can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. As of July 1; prices will increase,İrem Eren,
positive,taste,,Haci'nin Yeri - Yigit Lokantasi,,5,Delicious food at rock bottom prices. Friendly staff; Highly recommend,Nadia Salim,
positive,outdoor_atmosphere,,Haci'nin Yeri - Yigit Lokantasi,,5,"Every time I go, I still experience the amazement I experienced years ago as if it were the first time. There is no need to explain. Folk hero is a business.",Mehmet Eser,
positive,indoor_atmosphere,,Haci'nin Yeri - Yigit Lokantasi,,5,The most f/p of all businesses I've seen.,Celal Ozer,
positive,taste,,Haci'nin Yeri - Yigit Lokantasi,,5,The food was just like the ones my mother made. Prices were reasonable.,Onur Celebi,
positive,indoor_atmosphere,,Pizza Fellas,,5,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,Kadir Tasci,
negative,taste,,Pizza Fellas,,2,"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.",Serkan Colak,
positive,indoor_atmosphere,,Pizza Fellas,,4,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,Selim Cun,
positive,outdoor_atmosphere,,Pizza Fellas,,5,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,Zeki Celik,
neutral,taste,,Pizza Fellas,,3,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,Mustafa Caliskan,
positive,outdoor_atmosphere,,Pizza Fellas,,5,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,Deniz Bilgin,
positive,menu,,Pizza Fellas,,4,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,Cihan Tas,
positive,taste,,Pizza Fellas,,5,Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,Seda Sinem,
positive,menu,,Pizza Fellas,,5,I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,Nesrin Kuyumcu,
positive,indoor_atmosphere,,Pizza Fellas,,4,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,Okan Uslu,
positive,taste,,Pizza Fellas,,4,The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,Huseyin Uysal,
positive,indoor_atmosphere,,Cafe Inn,,5,The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,Dila Kocatepe,
negative,taste,,Cafe Inn,,1,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,Hooman Sadati,
positive,indoor_atmosphere,,Cafe Inn,,5,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,Serap Gunay,
positive,menu,,Cafe Inn,,4,The vegan breakfast made me extremely happy. It was nice.,Tugba Gunaydin,
positive,outdoor_atmosphere,,Cafe Inn,,5,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.,Can Ozdemir,
positive,taste,,Cafe Inn,,5,Very enjoyable beautiful place. Pizza salad food taste is great.,Berk Basarir,
positive,indoor_atmosphere,,Cafe Inn,,4,Its breakfast is more satisfying than the places around it.,Mert Ozer,
positive,outdoor_atmosphere,,Cafe Inn,,5,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,Kain Dijkman,
neutral,menu,,Cafe Inn,,3,The food is delicious but a little pricey. The best Cappucino in Datça is here..,Sarp Kendirci,
positive,taste,,Cafe Inn,,5,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,Zafer Togay,
negative,outdoor_atmosphere,,Cafe Inn,,2,When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,Eren Kesti,
neutral,menu,,Riviera,,3,"It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.",Olgayali Yilmaz,
positive,taste,,Riviera,,5,I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,Gorkey Bardakci,
positive,outdoor_atmosphere,,Riviera,,5,quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,Mehmet Yaliniz,
negative,taste,,Riviera,,2,The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,Goksel Aybek,
positive,indoor_atmosphere,,Riviera,,4,The staff was very engaged. Service and taste were perfect.,Cahide Koral,
positive,outdoor_atmosphere,,Riviera,,4,Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,Aya Zhol,
negative,menu,,Riviera,,2,"It was very expensive, but taste wasn't bad.",Metin Tumay,
positive,indoor_atmosphere,,Riviera,,5,Good quality service; nice customer service; they are happy to help with a smile.,Yılmaz Unal,
negative,taste,,Riviera,,2,Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,Alex Aali,
neutral,outdoor_atmosphere,,Riviera,,3,"Nice view, good staff, clean place and nice atmosphere.",Yahya Nawar,
positive,indoor_atmosphere,,Riviera,,5,Nice food and good service; located just near the beach as well.,Nirmal Narayan,
positive,taste,,Sakip Usta Gaziantep,,4,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,Gamze Aciogli,
positive,outdoor_atmosphere,,Sakip Usta Gaziantep,,4,Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,Murat Erdemir,
positive,indoor_atmosphere,,Sakip Usta Gaziantep,,5,If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,Berat Türk,
positive,taste,,Sakip Usta Gaziantep,,4,I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,Agah Beyoglu,
positive,menu,,Sakip Usta Gaziantep,,4,Taste was amazing! Price was not high.,Serap Keskin,
negative,indoor_atmosphere,,Sakip Usta Gaziantep,,2,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,Ahmet Coban,
positive,taste,,Sakip Usta Gaziantep,,5,We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,Huseyin Bulut,
neutral,outdoor_atmosphere,,Sakip Usta Gaziantep,,3,The food tastes good. The atmosphere of the place was not very attractive.,Merve Balci,
positive,taste,,Sakip Usta Gaziantep,,4,We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,Goktug Yigit,
positive,menu,,Sakip Usta Gaziantep,,5,Very cheap and delicious!,Kutay Demir,
positive,indoor_atmosphere,,Sakip Usta Gaziantep,,5,Ayran came when the meal was over; the food was very bitter.,Ali Kaya,
positive,outdoor_atmosphere,,Imam Cagdas,,5,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,Mustafa Ay,
negative,taste,,Imam Cagdas,,2,We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,Yalcin Cokzehir,
positive,menu,,Imam Cagdas,,4,We came because it is a very famous place. They had really delicious food.,Yusuf Gur,
neutral,indoor_atmosphere,,Imam Cagdas,,3,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,Humeyra Akyuz,
positive,taste,,Imam Cagdas,,5,The taste was very good but the prices were also very high.,Muhammet Ikbal,
positive,outdoor_atmosphere,,Imam Cagdas,,5,Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,Olcay Akin,
positive,indoor_atmosphere,,Imam Cagdas,,5,I had the chance to taste many flavors; all of them were very good; I was amazed by Ali Nazik Kebab.,Duygu Er,
negative,menu,,Imam Cagdas,,1,The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,Ceylan Birgun,
negative,taste,,Imam Cagdas,,1,"They sold us rotten pistachios, it sucks!",Hakan Unveren,
negative,indoor_atmosphere,,Imam Cagdas,,2,I don't know why we ate here despite the exorbitant prices. A portion of kebab or sis meat product starts from 220 TL as of the end of June 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,Hakan Solak,
