sentiment_category,gmap_id,user_name,text,spam_label,business_name,user_id,time,rating,vader_score,vader_category
negative,0x56c89428e066efd1:0xd2c5f782ad20cdd4,Ana Viaviase,Service sucks,0,Olive Garden Italian Restaurant,115565733808663898354,1553466571237.0,1.0,-0.3612,negative
positive,0x56c66399964f479d:0xe77a3785aba22bca,Carter Finney,unknown,0,Ammo-Can Coffee Social Club,103451893753049770176,1560922731421.0,5.0,0.0,neutral
positive,0x5132456b105a4b49:0xd6ab175794d4c46,Jeremy Reynolds,It's a cellular store it's clean an the people are friendly,0,Verizon,113950843636208512047,1493661397977.0,5.0,0.7096,positive
positive,0x56c897fe622540d5:0x26b2ca2e9bbd540c,AmitB,"Excellent location. Not only close to the airport, but also walking distance to many nice restaurants and within minutes to downtown. Also well connected to the major highways. Convenient shuttle service. Impeccably clean rooms - spacious and very well appointed with nice views. Excellent in house restaurant and well provided lounge. Cheerful and friendly staff. Bright and cheery ambience both inside and outside including the nice 'courtyard'. Would love to be back here.",0,Courtyard by Marriott Anchorage Airport,unknown,1439856000000.0,-999.0,0.9953,positive
negative,0x56c897d37e2c91d3:0x4a6276d0fff0957f,Carissa Toner,"She cancelled my appointment next week because she didn't want to clean my house ""for free"".  I found out my appointment was cancelled only because Groupon alerted me that she voided my coupon.  Not even the courtesy of letting me know, I had to call and confirm since she had set a date and time.  She was rude when I asked and I get yelled at.  I would not recommend.",0,"Diamond Janitorial Services - Pre-Listing Cleaning, Construction & Vacation Rental Cleaning, Home Move-Out & Move-In Cleaning Service",113267373440759421440,1616205749964.0,1.0,-0.8934,negative
positive,0x56c89428a884f819:0xf19121669c0db372,Collette Owens,I love the clam chowder and salads,0,Red Robin Gourmet Burgers and Brews,118000437687107670393,1613240574370.0,5.0,0.6369,positive
positive,0x54010304808eb99b:0x822af834f3f1722b,Nicole Cowie,unknown,0,Tongass National Forest,107135050510533160307,1571603515709.0,5.0,0.0,neutral
positive,0x51324520eca2cc15:0xfcfe3976d5c3338c,Jason King,Great clinic my pets needs are always met,0,Aurora Animal Clinic,115726486342043555601,1486316649581.0,5.0,0.6249,positive
positive,0x56c91dfba9e15ae5:0x9dc99d155b2427d,Alaska_lapua 338,My experience at this location was good staff seemed friendly it was clean but not the fastest,0,McDonald's,105392710865207341645,1562820061401.0,4.0,0.5994,positive
positive,0x51324552a0b47b9b:0xa3ff6e8462c7e3e7,Danny Figueroa,unknown,0,Street Sounds,107866392740464250971,1592622013950.0,4.0,0.0,neutral
positive,0x51324546449ef7d5:0x44f893ec9eff50bf,Melissa Alexander,Great place to visit! If in the area then this is a must do. Very informative.,0,Morris Thompson Cultural & Visitors Center,111112502713992439378,1528550050727.0,5.0,0.6588,positive
positive,0x51324515f0ef75af:0x8458bb68a0070527,Lindsey Bergamaschi,unknown,0,Pho House,105473176316387886289,1510640764040.0,5.0,0.0,neutral
positive,0x56aaa92802af3ad9:0xd0cb777f92b145b1,Reeve Joseph,unknown,0,Klondike Brewing Company,114632180649731405813,1529633330662.0,5.0,0.0,neutral
positive,0x56c8bd83e94e1065:0x48c7d585fc4ee59d,Nina Anderson,unknown,0,Coastal Trail - Elderberry Park,110216274509910123434,1564293289510.0,5.0,0.0,neutral
positive,0x56c8965ea5cfc777:0xf4e6f66b783ae126,Logan Schoessler,Extremely friendly staff. Perhaps too friendly.  Head chef makes those Denny's slams like it's Space Jam. Every waitress is a solid 4 tho.,0,Denny's,115484818848693096845,1543659660370.0,5.0,0.8775,positive
